name,stock,mrp,agorich_price,pack_size,batch_number,expiry_date,mfg
PLATIMUCH SYP,1000,225,135,200ML,UGL-25267A,4/28,DYCEM
DYVOM-DROPS,1000,43.01,25.806,30ML,UFL250530D,5/27,DYCEM
DYCLOTIQ-AQ INJ,1000,240,144,10*1ML,UGA25186B,5/27,DYCEM
DY-VANILLA PWD,1000,380,228,200GM,UNP-2526B,8/26,ULTRA
SODEXO-300 TAB,1000,3820,2292,10*10,UGT-2581A,12/26,ULTRA
RABICEM-DSR CAP,1000,1200,720,10*10,UC-24741A,9/26,ULTRA
NUMICOB PLUS,1000,78,46.8,1*2ML,UGA-2581P,8/26,COSPEX
LYCOCEM SYP,1000,175,105,200ML,UNL-25149A,9/26,GREEN
HONICEM SYP,1000,75,45,100ML,UGL-24651,8/26,ULTRA
DYCLOTIQ-SP TAB,1000,710,426,10*10,UT-250505C,3/27,ULTRA
DYCLOBET-I CREAM,1000,95,57,15GM,280B,5/27,DYCEM
DYCLAV-625,1000,2049,1229.4,10*10,BT0224132G,1/27,ALEN
DY-CHOCO PWD,1000,360,216,200GM,UNP-2523B,8/26,ULTRA
COFFCEM-DX SOFTGEL,1000,830,498,10*10,US-24312C,10/26,ULTRA
CAPOVEX 1GM INJ,1000,68,40.8,VIAL,UCD-24584V,11/26,ULTRA
AMLEY-AT,1000,480,288,10*10,TGS-0054A,12/26,ATHEN
AMIKAPEX-500MG INJ,1000,97,58.2,INJ,GHL-0627,4/27,COSPEX
ACETIQ-MR TAB,1000,730,438,10*10,UT-240375C,2/26,ULTRA
CEMOCID SUSP(S.F),1000,127,76.2,170ML,SPL-10301,2/27,SHIVA
DYCLAV-DS,1000,67.4,40.44,30ML,UPS-2499B,4/26,ULTRA
DYNEUCOB-NP,1000,1500,900,10*10,UGT-24186K,1/26,DYCEM
ORTHOCEM OIL,1000,140,84,60ML,UGO-2532C,2/28,GREEN
LEVOTIQ-M SYP,1000,84,50.4,60ML,UFL-250243D,2/27,ULTRA
KETOWICK SOAP,1000,145,87,75GM,VPS-2930,12/26,VIVE
PANTOCEM-40 INJ,1000,56,33.6,10*10,UGD-24234S,10/26,ULTRA
VITACEM SYP,1000,145,87,200ML,UNL-24580A,3/26,ULTRA
CEMFLOX-MS SUSP,1000,89,53.4,60ML,SPL-10321,2/27,DYCEM
ETO-THIO-4 TAB,1000,2200,1320,10*10,UGT-25231H,1/27,ULTRA
TRUZOLID-600,1000,3790,2274,10*10,UGT-25358D,2/27,ULTRA
ZOINTEM TAB,1000,940,564,10*10,GT-25749B,4/27,DYCEM
CEFICEM-200DT TAB,1000,1094,656.4,10*10,UCT-2546H,1/27,ULTRA
DEFICEM-6 TAB,1000,1400,840,10*10,UT-2507691 ,5/27,DYCEM
DYFLU-COLD TAB,1000,610,366,10*10,UT-250084A,12/26,ULTRA
FLUKOCEM-200,1000,397.8,238.68,20*1,GT-25348B,4/27,DYCEM
ZOINTEM-K27,1000,2200,1320,10*1*1,US-25140H ,4/27,DYCEM
DYNEUCOB-OD CAP ,1000,1580,948,10*10,UC-258591,2/27,DYCEM
MEFCEM-P DS SUSP,1000,70,42,60ML,UFL250458C,4/27,DYCEM
CAPOVEX 1GM INJ ,1000,66.6,39.96,VIAL,UCD-25384U ,8/27,DYCEM
DYNEUCOB-1500 INJ,1000,58,34.8,5*2ML,UGA-25179F,4/27,DYCEM
COFFCEM-D SYP,1000,102,61.2,100ML,UFL250429E,4/27,DYCEM
CYPROCEM SYP,1000,155,93,200ML,UFL250436B ,4/27,DYCEM
PARAICK-650 TAB,1000,224,134.4,10*10,UT-250123F,12/26,ULTRA
CEFICEM-50 DRY SYP ,1000,52.5,31.5,30ML,UCS-24180C ,10/26,ULTRA
DYCLAV-DS FORTE DRY SYP,1000,144,86.4,30ML,BD0225025I ,1/27,DYCEM
FUBEXO-40,1000,970,582,10*10,UT-241588F,9/26,
ZDC PLUS ,1000,84.38,50.628,1*2ML,MTC-309J ,12/26,
GINCEM-PLUS SOFTGEL,1000,130,78,10*10,US-242181,8/26,ULTRA
OYOFORCE-100TAB,1000,2800,1680,20*1*4,UT-241522D,9/26,ULTRA
ITLEY-200 CAP,1000,2322,1393.2,10*10,UC-24525R,7/26,ULTRA
DYCLOTIQ GEL,1000,84.38,50.628,30GM,223E,4/27,DYCEM
DNERGY DRINK,1000,66.75,40.05,105GM,UNED-2556D ,11/26,DYCEM
CAPOVEX-S 1.5GM INJ. ,1000,159.38,95.628,VIAL,UCD-25167N,3/27,DYCEM
LIVCEM-4G SYP,1000,182.81,109.686,225ML,UGL-25456B,7/28,DYCEM
VITACEM-DROPS ,1000,57.85,34.71,30ML,RST-6329 ,10/26,DYCEM
,,35949.86,21569.916,,,,
